total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
55689,43.3,3.7,52239,33640,83918,56.8,45.6,41818,66888,6875.0,19864,42100,11815,41.9,2010,"Guayama, PR"
162028,4.8,4.7,155159,121633,245000,31.0,18.7,124561,192055,6113.0,59952,120439,29889,16.6,2010,"Gulfport, MS"
176212,5.9,2.3,162135,136427,258109,18.3,12.1,132117,204346,6174.0,60666,125992,35308,11.0,2010,"Hagerstown, MD"
73328,13.9,9.2,72443,57399,115865,29.0,21.9,58859,89009,5919.0,29810,57006,13612,20.4,2010,"Hammond, LA"
78679,16.6,5.2,84622,59848,137215,32.9,22.2,66777,99081,6721.0,42047,70438,10546,17.5,2010,"Hanford, CA"
367331,5.7,2.2,333072,284499,529913,17.6,10.9,272067,425591,5899.0,119671,257846,77170,9.7,2010,"Harrisburg, PA"
71760,8.3,2.4,76155,59599,116798,17.5,19.9,59614,94878,7656.0,24733,57184,15910,23.1,2010,"Harrisonburg, VA"
808627,6.8,1.9,734747,655534,1167980,12.7,10.1,605378,933478,6179.0,266922,562602,166311,10.0,2010,"Hartford, CT"
88599,11.5,6.7,89740,69138,142187,30.7,24.4,74431,111646,6703.0,35275,67756,17172,24.3,2010,"Hattiesburg, MS"
48478,1.8,0.0,44326,38165,68445,12.9,11.4,33695,55967,4631.0,14248,34750,9871,13.0,2010,"Helena, MT"
246029,8.9,5.7,223816,181486,359494,24.9,16.4,182918,285665,6240.0,83201,176576,52477,15.1,2010,"Hickory, NC"
126149,9.2,6.0,113584,91691,182149,25.0,18.4,91545,145698,6480.0,41103,90604,27462,18.2,2010,"Hilo, HI"
126358,6.8,8.2,101715,81735,177960,24.6,14.5,92423,141538,5328.0,40007,85537,36238,13.2,2010,"Hilton Head Island, SC"
42490,12.4,2.0,46580,29530,73574,34.4,22.6,37623,53744,7574.0,22222,35951,4772,18.0,2010,"Hinesville, GA"
160457,4.6,4.8,158168,136830,255016,14.7,11.9,128907,195883,6701.0,66540,126109,30308,12.1,2010,"Holland, MI"
110196,8.6,4.4,73744,52280,139755,33.7,17.3,71917,121384,5704.0,21610,67838,44401,17.6,2010,"Homosassa Springs, FL"
634813,5.9,2.6,582112,477888,926014,11.0,9.1,468110,742533,7123.0,206977,457904,136925,9.1,2010,"Honolulu, HI"
67640,9.2,2.2,55351,42182,94870,45.7,23.8,48641,76882,6073.0,20227,46229,19292,21.0,2010,"Hot Springs, AR"
132530,7.3,5.6,130122,99550,204551,21.5,15.3,103893,159134,5996.0,51093,100658,23336,14.3,2010,"Houma, LA"
3695159,10.3,3.4,3750058,3034874,5903014,23.9,16.5,2976363,4436354,6636.0,1649178,2926651,503778,14.1,2010,"Houston, TX"
195388,12.1,5.6,175401,123074,280650,34.4,21.7,144140,228662,5370.0,59956,136510,45293,19.9,2010,"Huntington, WV"
273538,7.7,6.3,260487,213733,408988,18.0,13.0,207747,321402,5507.0,98688,201241,49813,12.1,2010,"Huntsville, AL"
29065,7.2,6.4,33512,22799,51753,25.6,27.0,27391,41460,8371.0,11394,24362,6847,31.6,2010,"Huntsville, TX"
41129,6.5,3.0,35959,31979,61310,23.0,13.2,31448,48126,4413.0,14908,29862,10443,11.1,2010,"Hutchinson, KS"
78345,7.6,18.5,75926,63093,132291,14.2,12.2,65889,94024,4161.0,42538,66402,13827,11.8,2010,"Idaho Falls, ID"
55873,7.8,4.1,55773,42383,85905,19.0,18.8,44543,71373,6509.0,16520,41362,13612,21.4,2010,"Indiana, PA"
1125334,5.9,1.9,1087642,913791,1721254,21.1,14.8,886297,1321647,6418.0,449723,834957,183889,13.7,2010,"Indianapolis, IN"
89936,2.7,2.5,98823,86722,143203,10.3,16.4,72526,116228,6649.0,30271,70677,14109,20.2,2010,"Iowa City, IA"
58011,8.1,4.0,61772,46599,86481,13.5,21.8,44046,74534,7444.0,13954,42435,10755,26.1,2010,"Ithaca, NY"
102628,5.8,1.7,94862,74087,153183,33.1,19.8,77581,120570,6683.0,36463,75602,21858,17.8,2010,"Jackson, MI"
341006,8.3,6.7,329053,261730,528393,26.5,17.9,277946,405004,6423.0,139392,250447,59948,15.9,2010,"Jackson, MS"
72088,8.3,1.3,68854,56386,110399,30.4,19.1,57000,86770,6560.0,27126,53399,14419,16.9,2010,"Jackson, TN"
886903,8.4,2.5,846182,677528,1322068,21.5,15.3,681891,1041454,6271.0,317307,640177,158579,14.2,2010,"Jacksonville, FL"
89254,8.2,5.3,104827,63515,162965,19.7,14.6,82590,122463,6171.0,45006,80375,13132,13.2,2010,"Jacksonville, NC"
87899,6.3,4.4,78495,63435,128111,23.2,17.1,64754,103249,7466.0,28923,63357,20693,17.8,2010,"Jamestown, NY"
105614,8.9,3.7,96492,85183,156578,20.8,14.1,80446,122292,6213.0,39007,76132,21079,12.5,2010,"Janesville, WI"
91340,13.0,8.5,85257,75583,134941,16.7,12.1,68325,107105,5951.0,31830,66616,17854,10.2,2010,"Jefferson City, MO"
136220,9.4,10.9,124350,92218,194920,29.2,20.5,100052,159417,5950.0,39472,94868,31098,20.5,2010,"Johnson City, TN"
98353,7.1,0.8,82192,67843,136660,23.7,12.9,70922,112078,5080.0,27892,65738,26576,11.1,2010,"Johnstown, PA"
74919,15.1,1.5,73244,58180,116431,34.9,25.5,59243,91114,6073.0,28358,57188,14829,24.0,2010,"Jonesboro, AR"
113055,9.3,4.9,104480,88793,170855,23.1,16.7,86668,132487,5944.0,42553,84187,23822,15.8,2010,"Joplin, MO"
105529,5.8,4.3,97671,85286,152313,18.0,11.2,76512,121167,7134.0,34922,75801,19720,9.8,2010,"Kahului, HI"
204392,6.8,9.8,202020,166445,317314,25.3,19.1,161283,251304,6099.0,75329,156031,39965,19.3,2010,"Kalamazoo, MI"
61894,7.3,4.0,56386,45426,89953,18.1,14.4,45351,71657,4994.0,20973,44602,12594,14.6,2010,"Kalispell, MT"
70381,9.4,0.8,67714,54777,110210,17.4,14.4,56362,85406,7373.0,28528,53848,13968,14.2,2010,"Kankakee, IL"
1330870,6.9,3.4,1259180,1082173,2007782,17.7,12.4,1028296,1550211,6209.0,513911,979486,234691,11.2,2010,"Kansas City, MO"
46199,14.9,1.8,41565,33826,65853,12.5,11.6,31798,52806,7075.0,14571,34055,9717,10.5,2010,"Kapaa, HI"
50797,4.5,3.4,47105,41908,72752,14.0,11.8,37089,59634,5962.0,14830,35663,10817,12.8,2010,"Keene, NH"
154276,7.3,1.6,151959,122575,252411,21.0,15.1,125230,186279,7127.0,73870,127181,26582,13.6,2010,"Kennewick, WA"
57163,10.0,9.7,49867,40781,73239,8.7,11.1,33866,63860,5701.0,10985,39373,12387,11.9,2010,"Key West, FL"
232265,8.1,1.6,239054,164676,386236,18.9,12.5,200401,284140,5595.0,112700,185835,34482,10.1,2010,"Killeen, TX"
218442,10.0,7.7,184140,137921,302833,25.8,17.3,156239,246861,5508.0,63058,146594,55635,16.5,2010,"Kingsport, TN"
122127,5.9,2.1,109363,90775,170106,13.0,12.3,87015,138675,6201.0,35593,83091,25150,13.5,2010,"Kingston, NY"
45030,9.7,5.0,39378,31474,64201,21.1,15.7,32189,51994,5001.0,13653,32012,11170,15.6,2010,"Klamath Falls, OR"
468647,5.8,1.3,428637,341976,680360,18.4,13.8,352641,546869,6621.0,151219,327719,100504,14.1,2010,"Knoxville, TN"
67648,4.1,7.2,61101,47715,99158,20.9,14.3,51157,79194,5052.0,22906,48001,15151,14.4,2010,"Kokomo, IN"
84133,9.5,4.3,82438,73164,127852,6.5,12.1,64092,103466,5596.0,27996,63760,17418,14.6,2010,"La Crosse, WI"
112955,5.5,3.8,124208,102419,187528,17.7,19.1,90829,149523,6919.0,42784,96699,20536,21.8,2010,"Lafayette, IN"
171239,12.9,3.9,173637,138442,268619,26.5,19.8,136971,208086,6562.0,67287,131648,27695,18.4,2010,"Lafayette, LA"
40924,11.9,5.6,40353,31030,65625,30.0,21.0,34039,50426,5321.0,17442,31586,7830,18.9,2010,"LaGrange, GA"
125960,9.1,4.8,119577,92956,193156,24.7,18.0,99409,148637,6743.0,49017,93747,24562,17.1,2010,"Lake Charles, LA"
46059,7.9,12.3,39250,29456,64346,29.1,17.3,32748,51054,5867.0,15049,31598,10047,15.2,2010,"Lake City, FL"
143395,5.9,0.6,110709,85161,197934,32.0,17.7,98353,162487,6500.0,40680,99581,46545,17.4,2010,"Lake Havasu City, AZ"
397874,8.3,2.8,343320,277132,588527,28.7,17.5,301981,465174,6140.0,139426,286546,105781,15.8,2010,"Lakeland, FL"
334751,6.6,3.3,304120,268743,506274,14.8,10.5,257554,393655,5851.0,126911,248720,75243,9.6,2010,"Lancaster, PA"
52392,9.2,1.2,47046,35148,76131,33.0,21.1,38068,60551,7198.0,17530,38063,11555,19.6,2010,"Lancaster, SC"
286701,5.9,2.0,285104,233086,439129,19.0,16.9,225380,350764,6938.0,100515,213749,53510,18.3,2010,"Lansing, MI"
135423,24.8,9.8,142283,108262,249264,42.1,31.7,129827,171515,7367.0,87184,119437,19797,26.3,2010,"Laredo, TX"
124081,14.0,6.5,122926,95788,203917,35.5,26.3,105152,153968,6819.0,55471,98765,25520,24.7,2010,"Las Cruces, NM"
1273223,7.9,1.7,1228829,1015714,1932015,22.8,15.1,962026,1504821,7008.0,483476,969989,219710,13.3,2010,"Las Vegas, NV"
53006,18.6,9.6,48574,34512,78678,34.8,23.3,40173,61250,5997.0,19344,38505,10760,19.7,2010,"Laurel, MS"
60523,7.7,2.2,66892,58443,97312,10.1,16.5,51182,78672,6526.0,20483,46130,9937,19.8,2010,"Lawrence, KS"
71630,8.1,3.3,70822,52229,113889,29.4,17.6,59916,86491,6209.0,30316,53973,12751,14.4,2010,"Lawton, OK"
121830,6.4,4.4,107981,93775,168744,13.3,10.9,86417,139525,6769.0,33311,82327,27452,11.4,2010,"Lebanon, NH"
90496,6.1,1.0,79969,68025,131707,16.9,10.9,67958,104876,6877.0,30400,63749,21338,9.9,2010,"Lebanon, PA"
41826,9.0,10.3,36415,29345,60367,19.6,11.6,30695,49498,5563.0,12655,29672,11297,9.6,2010,"Lewiston, ID"
71597,12.3,4.3,66383,54697,103587,19.5,14.8,52744,82965,4711.0,23860,50843,13344,13.6,2010,"Lewiston, ME"
304395,6.9,5.9,306663,259424,460896,25.6,18.8,233500,367850,6501.0,104054,227396,50179,18.4,2010,"Lexington, KY"
66265,3.9,2.4,64935,54467,102243,6.9,5.2,51861,78417,6894.0,27531,50382,9777,4.7,2010,"Lexington Park, MD"
66960,6.5,6.0,61357,50402,102060,35.0,19.3,52713,79691,6196.0,25057,49347,15646,16.2,2010,"Lima, OH"
184754,5.8,4.8,185974,166525,287423,19.2,15.4,145806,226148,5666.0,68309,141617,33140,15.8,2010,"Lincoln, NE"
53843,8.7,4.5,49061,39374,77486,25.3,15.8,39049,62302,6439.0,17912,38437,10513,13.9,2010,"Lincolnton, NC"
451585,5.9,4.6,435222,352043,684230,21.1,15.2,352001,535991,6415.0,166399,332229,82609,14.7,2010,"Little Rock, AR"
64795,6.7,8.8,70843,61347,120854,17.1,15.6,58443,85821,6848.0,39221,62411,10790,16.2,2010,"Logan, UT"
132562,9.4,2.2,123964,98710,204049,27.5,17.8,105016,158619,6186.0,51127,99033,28958,15.7,2010,"Longview, TX"
69095,9.1,3.6,61772,46704,101745,32.7,22.4,52132,79732,6262.0,24493,49613,15480,21.7,2010,"Longview, WA"
8263886,12.0,2.9,8181579,6580696,12658588,22.6,16.3,6424138,9956842,6562.0,3088976,6234450,1388033,14.6,2010,"Los Angeles, CA"
852703,9.3,2.9,801862,662512,1263362,22.4,15.3,648997,993421,5811.0,303535,614365,157965,13.8,2010,"Louisville/Jefferson County, KY"
166182,7.5,4.9,173377,144426,274520,28.2,21.4,140182,211763,6559.0,69763,134338,31380,21.2,2010,"Lubbock, TX"
53117,10.5,6.1,50067,37472,83870,22.2,17.9,43665,63664,5100.0,22002,40205,11801,17.7,2010,"Lufkin, TX"
81686,17.1,1.6,81574,51178,131640,46.8,31.1,67780,99308,6640.0,35409,63860,14657,26.8,2010,"Lumberton, NC"
163561,9.1,4.5,147768,121320,240048,21.8,16.2,125347,194226,6051.0,53292,114701,38988,16.1,2010,"Lynchburg, VA"
144833,15.0,2.6,134531,97055,216809,35.8,23.2,113490,169117,6899.0,54033,103319,28245,19.8,2010,"Macon, GA"
86736,11.5,3.1,83851,62609,142789,31.3,21.0,71809,105627,6121.0,41418,70980,17520,17.8,2010,"Madera, CA"
370084,5.2,4.3,369728,332308,553449,12.0,11.8,278338,442500,6130.0,123628,275111,60093,12.8,2010,"Madison, WI"
268854,5.9,0.7,250045,225495,387967,10.4,7.1,197205,307010,6013.0,92433,190762,45489,6.1,2010,"Manchester, NH"
68529,4.2,2.2,79676,58397,118775,17.0,18.0,59221,92245,7309.0,29111,59554,9988,20.2,2010,"Manhattan, KS"
56084,6.3,5.8,48677,43702,79615,19.7,12.0,39851,64581,5888.0,17788,39764,13150,10.8,2010,"Manitowoc, WI"
55955,8.7,5.2,60040,54197,90797,11.2,14.9,43920,73145,6086.0,19630,46877,11127,17.3,2010,"Mankato, MN"
81205,6.8,4.0,70065,58428,117339,20.2,12.9,61302,93230,4816.0,27091,56037,20183,11.8,2010,"Mansfield, OH"
47840,9.6,1.7,39095,32952,65400,17.4,12.8,32753,53639,4938.0,13372,32647,12933,12.3,2010,"Marinette, WI"
44461,7.6,5.5,41010,31858,67041,33.9,19.9,34746,53829,6375.0,15083,32295,10948,18.1,2010,"Marion, IN"
43394,8.6,10.3,39987,31529,62131,24.3,20.4,30146,50632,6378.0,13484,31985,8660,21.7,2010,"Marion, OH"
44271,7.2,1.2,39575,30626,64607,16.4,14.8,33343,51424,5832.0,14536,31264,10496,16.2,2010,"Marion, IL"
42831,6.7,4.0,41508,32382,62964,12.1,13.8,31618,52089,5149.0,12342,31346,9114,15.9,2010,"Marquette, MI"
40794,9.1,15.4,38642,30747,64560,21.3,16.5,31781,49319,5330.0,16864,32779,9054,16.1,2010,"Marshall, TX"
51815,7.3,5.4,44583,37597,74000,19.9,11.6,37459,59303,4948.0,16731,36541,12686,9.8,2010,"Marshfield, WI"
46961,7.9,3.9,39291,30035,64444,26.0,18.6,34312,53036,6112.0,13098,30132,12055,19.3,2010,"Martinsville, VA"
68601,36.0,13.2,63545,34271,103011,56.0,47.2,53981,85851,7475.0,20260,49030,19206,47.7,2010,"Mayag?ez, PR"
423445,20.2,7.1,434890,312223,773729,45.3,33.4,397374,536365,6530.0,266873,376355,71966,28.2,2010,"McAllen, TX"
57947,9.9,3.1,51554,41642,84414,35.7,20.7,42883,67869,5750.0,19189,41531,13671,18.0,2010,"Meadville, PA"
140680,7.2,2.6,120883,99751,200897,20.0,14.9,103433,161975,6771.0,43829,97464,36185,15.3,2010,"Medford, OR"
826043,9.5,3.3,810861,654674,1290205,27.6,19.1,675326,987910,6595.0,342125,614879,137219,17.1,2010,"Memphis, TN"
143513,12.6,3.9,149723,114918,253801,31.5,23.0,125673,182620,6286.0,80516,128128,23562,20.1,2010,"Merced, CA"
64816,15.8,13.7,57086,42570,98824,38.0,27.3,53817,74477,4689.0,26900,45007,14838,25.2,2010,"Meridian, MS"
3820131,14.8,4.1,3423425,2857719,5494883,22.9,17.1,2854217,4449439,6279.0,1193487,2640666,877971,15.6,2010,"Miami, FL"
68888,7.8,1.9,61184,52664,101651,25.3,16.5,53138,79591,5951.0,25270,48513,15197,15.1,2010,"Michigan City, IN"
55999,3.8,1.3,50614,40514,82059,12.6,10.4,41913,65875,6181.0,18913,40146,12532,11.1,2010,"Midland, MI"
83438,7.7,4.0,83339,69091,134889,25.3,14.7,69535,100823,6962.0,36901,65354,14649,11.3,2010,"Midland, TX"
1012600,6.2,2.3,964101,830131,1530304,24.2,15.5,788525,1200012,6204.0,375911,741779,190292,13.9,2010,"Milwaukee, WI"
2144003,7.2,1.9,2082717,1846916,3230239,14.8,10.9,1638491,2511100,6119.0,810342,1591748,337180,9.9,2010,"Minneapolis, MN"
43971,12.2,5.2,41963,36863,67302,24.7,14.6,33193,53591,5119.0,15886,34109,9453,11.3,2010,"Minot, ND"
70852,6.5,5.9,73792,62281,107139,13.6,14.2,53085,88153,6384.0,21349,54054,11998,15.6,2010,"Missoula, MT"
266563,11.7,4.8,251428,194888,405497,28.1,20.2,210640,317705,6142.0,101488,194857,52581,18.9,2010,"Mobile, AL"
310647,9.3,2.1,311689,239956,509261,29.1,19.9,257449,381467,6845.0,144750,251812,52822,17.4,2010,"Modesto, CA"
109619,14.7,4.0,106220,83084,167733,30.6,20.9,87580,131172,5407.0,40677,80153,20836,18.4,2010,"Monroe, LA"
100098,8.0,0.0,94613,76739,148315,20.0,12.7,74566,117937,6115.0,35517,73749,18185,10.9,2010,"Monroe, MI"
233668,9.4,2.0,223891,176808,358364,26.6,17.8,189373,278131,5237.0,90752,168991,43721,15.9,2010,"Montgomery, AL"
48517,8.1,0.0,41402,35121,66219,17.5,12.5,32626,55297,5681.0,12516,33593,12301,12.3,2010,"Morehead City, NC"
76103,7.9,7.2,84574,63748,119658,14.2,20.9,58372,101585,6720.0,20836,61286,14248,24.7,2010,"Morgantown, WV"
88641,9.1,2.1,81147,64125,130406,28.8,18.9,66296,104516,5562.0,29727,64110,19532,17.7,2010,"Morristown, TN"
52020,4.9,5.5,50497,40134,87823,32.8,23.9,42997,63235,5903.0,27404,44826,9922,22.8,2010,"Moses Lake, WA"
50839,15.0,5.4,44139,35851,73008,33.7,19.3,37939,57850,6045.0,16928,35069,11941,14.9,2010,"Mount Airy, NC"
35046,10.0,18.1,46706,34553,65187,23.7,33.8,33314,54491,7209.0,11870,31873,6611,39.7,2010,"Mount Pleasant, MI"
79635,6.2,0.0,70629,54992,116540,17.8,11.5,58422,91965,6260.0,27469,58118,18442,10.3,2010,"Mount Vernon, WA"
70478,7.4,5.7,71955,57708,111042,28.3,24.3,57569,90692,6792.0,22681,53473,16406,26.9,2010,"Muncie, IN"
111090,6.1,6.7,102166,81958,167156,29.4,21.1,85558,130768,5669.0,41899,81598,23091,21.1,2010,"Muskegon, MI"
41997,8.3,6.0,39132,30281,64600,32.5,21.3,33155,48928,5309.0,17369,31445,8099,19.0,2010,"Muskogee, OK"
187146,5.9,3.2,167089,135712,265136,34.2,20.1,136507,218505,6206.0,52779,128629,45268,19.4,2010,"Myrtle Beach, SC"
90221,5.6,1.7,80794,69075,132185,15.4,11.7,66511,104444,6039.0,30958,65674,20433,11.9,2010,"Napa, CA"
236241,6.8,7.3,173983,140822,321149,27.3,16.2,162279,266882,7238.0,61970,158870,85196,16.8,2010,"Naples, FL"
1033151,9.3,3.5,999194,818556,1548824,22.8,15.4,793224,1208988,5992.0,380643,755600,168987,13.6,2010,"Nashville, TN"
82317,11.3,12.6,73395,56624,121318,23.2,16.0,62622,97098,5507.0,27550,58696,20373,14.7,2010,"New Bern, NC"
63358,9.5,1.2,52175,42012,88269,28.5,16.6,46635,71520,5370.0,19323,41634,16771,14.6,2010,"New Castle, PA"
573999,6.8,2.4,530601,465917,837756,16.5,11.7,433650,672585,6413.0,190158,404106,116997,11.0,2010,"New Haven, CT"
44276,10.7,0.9,43648,34591,71013,40.5,25.0,36543,53308,6790.0,19193,34470,8172,20.9,2010,"New Iberia, LA"
779220,9.8,2.9,745300,599325,1158389,25.8,17.4,594442,917033,6438.0,271565,563947,141524,15.9,2010,"New Orleans, LA"
62165,6.8,1.2,54913,43966,90835,23.1,14.9,46499,71913,6611.0,21783,44336,14139,13.7,2010,"New Philadelphia, OH"
12687282,10.9,2.2,11957704,9766213,18611761,19.5,13.8,9662817,14875545,6419.0,4250120,8948944,2403937,12.4,2010,"New York, NY"
105275,8.3,1.5,93022,77571,153815,28.5,16.8,79035,122089,5315.0,36114,74780,24679,14.6,2010,"Niles, MI"
525796,5.2,3.8,380291,318497,694407,22.5,13.6,360800,585595,6264.0,123931,333607,190185,14.9,2010,"North Port, FL"
47651,12.5,4.9,41765,32701,68304,24.6,20.6,34156,54699,5866.0,15453,34148,11086,21.3,2010,"North Wilkesboro, NC"
183163,6.3,0.8,164176,144500,261191,10.8,8.8,131965,210505,6466.0,58079,129226,38936,8.7,2010,"Norwich, CT"
55206,2.1,1.8,46883,36043,77446,14.4,9.4,39658,63314,6191.0,16255,37788,14308,9.9,2010,"Oak Harbor, WA"
238785,9.4,2.6,177341,136437,324611,31.3,19.8,168855,269918,6115.0,62296,155756,84974,20.7,2010,"Ocala, FL"
71015,6.2,1.6,57036,49383,95950,18.7,10.5,49386,80326,5932.0,18002,46564,20912,9.5,2010,"Ocean City, NJ"
80596,14.1,1.6,82460,67007,134136,30.1,20.0,68374,100068,5804.0,38280,65762,13396,16.2,2010,"Odessa, TX"
316643,5.5,4.8,320788,267126,546918,13.0,10.2,271663,386670,6214.0,177442,275255,48688,9.3,2010,"Ogden, UT"
68365,9.1,4.9,62226,48298,99543,27.9,17.4,49883,80223,5468.0,22305,49660,15012,15.6,2010,"Ogdensburg, NY"
796065,7.4,3.7,771571,627027,1225732,23.8,15.9,622338,947390,6296.0,310673,603394,143488,14.4,2010,"Oklahoma City, OK"
53679,6.2,0.7,47503,37835,77490,20.1,14.5,38592,61896,6217.0,18020,38898,11967,14.6,2010,"Olean, NY"
169585,4.7,0.2,161227,123017,251009,12.3,10.1,128850,200187,7538.0,57461,122159,32321,10.4,2010,"Olympia, WA"
552143,6.8,3.0,537555,480556,850747,17.7,12.4,432487,653479,5959.0,220323,418260,92869,11.2,2010,"Omaha, NE"
52032,28.4,5.6,48472,33869,82285,38.2,27.5,42797,62017,5042.0,22624,39488,11189,22.4,2010,"Opelousas, LA"
58582,19.7,9.6,53023,37545,88289,35.4,26.8,48203,69116,5286.0,21559,40086,13707,25.1,2010,"Orangeburg, SC"
1386760,7.9,3.6,1358594,1121621,2107141,20.4,14.7,1077213,1673390,6425.0,491935,1029928,256612,13.9,2010,"Orlando, FL"
106736,5.2,3.1,102326,89723,157045,12.3,12.3,78762,127588,6015.0,34000,78283,20719,13.7,2010,"Oshkosh, WI"
106312,5.3,3.9,93135,83141,154245,16.7,12.2,78601,123411,5965.0,35327,75644,25783,12.3,2010,"Ottawa, IL"
76045,10.5,2.6,67702,53312,111907,27.9,16.2,58148,87565,6237.0,27084,53759,17121,12.9,2010,"Owensboro, KY"
47001,5.8,11.2,43209,35023,69989,22.1,15.4,35313,55143,6720.0,17116,34676,9664,14.9,2010,"Owosso, MI"
527126,7.8,3.3,510671,430931,813891,14.3,10.7,410175,632066,5996.0,208211,403716,95009,9.8,2010,"Oxnard, CA"
67270,11.5,1.8,58108,45943,95585,23.2,15.0,50087,76632,5161.0,21118,45498,16359,12.9,2010,"Paducah, KY"
50465,12.8,12.8,43517,28881,73315,37.2,27.2,37194,58920,6061.0,16397,36121,13401,27.9,2010,"Palatka, FL"
388804,7.0,4.8,320943,260563,534329,19.5,13.4,273830,444058,6271.0,105330,260499,108056,13.5,2010,"Palm Bay, FL"
70318,7.4,0.0,52985,36785,95619,21.1,18.1,51259,78865,8967.0,18727,44360,23907,21.8,2010,"Palm Coast, FL"
112788,10.2,2.2,104699,85390,164784,16.2,14.2,83331,133790,5557.0,35847,81453,24238,14.5,2010,"Panama City, FL"
112451,10.0,3.3,98110,76351,158254,23.3,16.0,81164,127241,5306.0,34322,77090,25822,15.0,2010,"Parkersburg, WV"
104633,7.8,1.5,98791,76256,160196,25.9,16.6,79065,124955,7480.0,41230,81131,20175,14.6,2010,"Pascagoula, MS"
51909,5.4,1.9,48896,39994,82647,21.9,16.1,41307,61484,7134.0,23562,41340,10189,15.6,2010,"Pendleton, OR"
287844,10.2,2.3,265699,209530,424070,24.8,17.1,217433,339314,6406.0,96823,206637,61548,15.9,2010,"Pensacola, FL"
245541,5.3,2.7,222950,187854,362452,17.5,12.4,187227,284079,6573.0,88338,175225,51164,12.1,2010,"Peoria, IL"
3917131,8.4,2.0,3689494,3095138,5828951,17.1,12.7,3025062,4623368,6612.0,1372646,2803889,766811,12.0,2010,"Philadelphia, PA"
2645478,7.2,2.5,2526932,2036986,4133191,22.7,16.3,2092542,3156141,6968.0,1095687,2040649,510572,15.3,2010,"Phoenix, AZ"
60246,11.0,5.0,56273,45882,91646,35.2,22.4,45490,71878,6451.0,22244,46156,13129,19.9,2010,"Pine Bluff, AR"
1641237,8.0,2.6,1430763,1196602,2292164,16.8,12.2,1187309,1886613,5601.0,465880,1104855,395521,11.8,2010,"Pittsburgh, PA"
92009,6.4,3.4,77076,67784,124936,18.3,12.1,64733,103381,5352.0,24554,60203,23306,11.9,2010,"Pittsfield, MA"
52680,15.7,8.1,48655,38243,75426,16.9,15.8,38394,61707,5897.0,15953,37032,10818,15.4,2010,"Plattsburgh, NY"
53356,1.7,6.0,53745,43163,88764,15.6,13.4,43926,66009,6416.0,25502,44838,9517,14.4,2010,"Pocatello, ID"
152821,40.8,16.1,143075,94606,237828,63.0,50.0,125684,185690,6868.0,60299,112144,34454,46.7,2010,"Ponce, PR"
50981,5.6,7.7,39867,28183,69475,24.5,16.0,35287,58566,5738.0,12862,34188,16746,17.6,2010,"Port Angeles, WA"
357369,8.1,2.5,321629,283163,502169,14.2,10.3,258758,408998,5370.0,106859,243411,73681,9.5,2010,"Portland, ME"
1495158,7.9,2.3,1430803,1181704,2199690,17.6,13.4,1115054,1738878,6551.0,520975,1084636,247912,12.9,2010,"Portland, OR"
301130,7.8,6.4,237606,194440,417590,23.3,15.2,212453,343695,6423.0,84749,205137,95235,15.4,2010,"Port St. Lucie, FL"
51822,10.5,2.9,46635,31864,75678,25.8,20.7,38699,60922,5432.0,17263,36979,11780,21.3,2010,"Portsmouth, OH"
102209,7.6,2.0,86470,70393,140524,19.1,12.7,70903,115516,5325.0,28552,69621,25502,12.1,2010,"Pottsville, PA"
424324,6.0,1.7,398577,336100,642110,13.6,9.4,326066,498763,6207.0,165372,316044,78161,8.4,2010,"Poughkeepsie, NY"
154443,3.7,3.6,116314,87738,205174,29.0,19.2,105832,170914,5970.0,38713,99342,50147,22.6,2010,"Prescott, AZ"
1065027,9.5,2.6,986455,831082,1545957,18.3,13.7,798802,1247759,5930.0,341487,747155,218015,13.0,2010,"Providence, RI"
259112,4.3,7.3,300683,238280,517256,12.6,14.6,259410,349941,6625.0,181765,257846,34808,16.9,2010,"Provo, UT"
103377,10.2,6.8,94960,73649,155842,26.5,20.0,79758,122432,6142.0,37630,76084,23252,19.8,2010,"Pueblo, CO"
126394,6.9,4.3,81118,63551,157763,25.5,13.5,81953,138107,5593.0,22894,75810,53751,14.5,2010,"Punta Gorda, FL"
50384,7.1,1.2,44193,38299,73741,15.9,13.0,37658,58409,4976.0,16926,36083,12622,13.6,2010,"Quincy, IL"
127802,11.2,4.2,116753,100279,189794,20.1,14.7,96729,147695,5895.0,47014,93065,26027,13.3,2010,"Racine, WI"
726117,6.7,1.9,719579,611290,1112035,17.2,12.9,568083,849061,6850.0,293354,543952,99102,12.0,2010,"Raleigh, NC"
81588,8.6,2.4,76596,66078,122783,17.6,12.7,61252,96113,5127.0,30094,61531,16093,11.6,2010,"Rapid City, SD"
