City,Year,"Total Revenue","Individual Income Tax","Education Services Expenditure","Social Services and Income Maintenance Expenditure","Transportation Expenditure","Police Protection Expenditure","Environment and Housing Expenditure","Total Expenditures","Intergovernmental Expenditures","Current Operations","Assistance and Subsidies","Census ID - City","City Population"
"AZ: Mesa (City)",2010,"1,706",0,21,5,180,423,363,"1,897",0,"1,498",0,32007008
"AZ: Mesa (County)",2010,523,0,15,35,32,31,27,475,31,356,2
"AZ: Mesa",2011,"4,599",0,"1,273",203,222,413,368,"4,593",37,"3,666",3,32007008,440995
"AZ: Mesa (City)",2011,"1,653",0,22,7,175,383,333,"1,853",0,"1,426",0,32007008
"AZ: Mesa (County)",2011,505,0,15,34,39,30,33,495,37,351,3
"AZ: Mesa",2012,"4,370",0,"1,208",230,215,402,346,"4,550",48,"3,615",3,32007008,447681
"AZ: Mesa (City)",2012,"1,632",0,21,8,170,376,314,"1,865",0,"1,364",0,32007008
"AZ: Mesa (County)",2012,482,0,14,35,36,26,30,486,48,354,3
"AZ: Mesa",2013,"4,305",0,"1,080",205,174,407,344,"4,471",45,"3,360",1,32007008,457061
"AZ: Mesa (City)",2013,"1,649",0,19,7,130,382,316,"1,886",0,"1,283",0,32007008
"AZ: Mesa (County)",2013,458,0,16,33,33,25,25,460,45,345,1
"AZ: Mesa",2014,"4,305",0,"1,207",217,230,436,385,"4,710",58,"3,563",1,32007008,464980
"AZ: Mesa (City)",2014,"1,651",0,15,0,193,406,358,"2,002",0,"1,366",0,32007008
"AZ: Mesa (County)",2014,439,0,18,33,30,30,25,476,58,358,1
"AZ: Mesa",2015,"4,211",0,"1,106",219,161,392,359,"4,387",30,"3,473",1,32007008,473390
"AZ: Mesa (City)",2015,"1,663",0,14,0,128,350,336,"1,738",0,"1,262",0,32007008
"AZ: Mesa (County)",2015,436,0,7,33,26,41,20,447,30,369,1
"AZ: Mesa",2016,"4,128",0,"1,087",226,177,445,323,"4,374",55,"3,437",1,32007008,482108
"AZ: Mesa (City)",2016,"1,646",0,14,0,146,415,293,"1,752",0,"1,281",0,32007008
"AZ: Mesa (County)",2016,442,0,6,32,24,30,27,512,55,406,1
"AZ: Mesa",2017,"4,212",0,"1,074",180,135,393,373,"4,382",83,"3,412",1,32007008,491041
"AZ: Mesa (City)",2017,"1,713",0,14,0,100,365,344,"1,858",0,"1,353",0,32007008
"AZ: Mesa (County)",2017,465,0,7,32,29,28,26,501,56,393,1
"AZ: Phoenix",2010,"6,100",0,"1,617",227,528,411,696,"5,980",31,"4,051",2,32007010,1452680
"AZ: Phoenix (City)",2010,"2,803",0,45,2,488,380,666,"2,764",0,"1,502",0,32007010
"AZ: Phoenix (County)",2010,523,0,15,35,32,31,27,475,31,356,2
"AZ: Phoenix",2011,"5,892",0,"1,544",196,560,392,614,"5,665",37,"3,866",3,32007010,1449300
"AZ: Phoenix (City)",2011,"2,786",0,44,1,513,362,578,"2,625",0,"1,449",0,32007010
"AZ: Phoenix (County)",2011,505,0,15,34,39,30,33,495,37,351,3
"AZ: Phoenix",2012,"5,322",0,"1,473",223,505,369,529,"5,397",48,"3,841",3,32007010,1470050
"AZ: Phoenix (City)",2012,"2,398",0,43,1,460,342,497,"2,451",0,"1,457",0,32007010
"AZ: Phoenix (County)",2012,482,0,14,35,36,26,30,486,48,354,3
"AZ: Phoenix",2013,"5,327",0,"1,439",198,419,349,487,"5,168",45,"3,706",2,32007010,1499840
"AZ: Phoenix (City)",2013,"2,464",0,40,0,374,324,460,"2,229",0,"1,400",0,32007010
"AZ: Phoenix (County)",2013,458,0,16,33,33,25,25,460,45,345,1
"AZ: Phoenix",2014,"5,407",0,"1,377",218,432,344,440,"5,080",58,"3,720",2,32007010,1527340
"AZ: Phoenix (City)",2014,"2,529",0,38,0,395,314,412,"2,208",0,"1,386",0,32007010
"AZ: Phoenix (County)",2014,439,0,18,33,30,30,25,476,58,358,1
"AZ: Phoenix",2015,"5,066",0,"1,346",219,379,329,379,"4,904",30,"3,706",2,32007010,1556550
"AZ: Phoenix (City)",2015,"2,280",0,37,0,346,288,356,"2,027",0,"1,323",0,32007010
"AZ: Phoenix (County)",2015,436,0,7,33,26,41,20,447,30,369,1
"AZ: Phoenix",2016,"5,022",0,"1,309",226,341,320,399,"4,802",55,"3,740",1,32007010,1584930
"AZ: Phoenix (City)",2016,"2,249",0,39,0,310,290,370,"1,969",0,"1,418",0,32007010
"AZ: Phoenix (County)",2016,442,0,6,32,24,30,27,512,55,406,1
"AZ: Phoenix",2017,"5,251",0,"1,316",180,334,309,394,"4,734",82,"3,644",1,32007010,1613580
"AZ: Phoenix (City)",2017,"2,482",0,39,0,299,281,365,"1,977",0,"1,408",0,32007010
"AZ: Phoenix (County)",2017,465,0,7,32,29,28,26,501,56,393,1
"AZ: Tucson",2010,"4,978",0,"1,311",436,282,482,867,"5,266",2,"4,326",0,32010002,520418
"AZ: Tucson (City)",2010,"2,121",0,0,0,174,331,557,"2,366",0,"1,910",0,32010002
"AZ: Tucson (County)",2010,"1,440",0,38,436,108,151,310,"1,497",2,"1,187",0
"AZ: Tucson",2011,"4,921",0,"1,230",446,269,487,720,"5,035",0,"3,872",0,32010002,527167
"AZ: Tucson (City)",2011,"2,176",0,0,0,173,337,388,"2,194",0,"1,584",0,32010002
"AZ: Tucson (County)",2011,"1,369",0,39,446,96,150,331,"1,526",0,"1,173",0
